Minisector,BOT,SAI,Fastest
0,256.481769,250.91049525652218,BOT
1,296.40175939229124,281.78729130666665,BOT
2,171.2435415292517,171.99149677163263,SAI
3,163.7084350626114,162.76425139890975,BOT
4,258.6760820107418,254.11534586832298,BOT
5,273.78484970596315,268.1562548599893,BOT
6,237.6211324888889,223.48856343401363,BOT
7,207.9268261595041,201.06265443983014,BOT
8,159.50970758714712,159.24424147183882,BOT
9,217.03105591794872,220.9553328076676,SAI
10,273.49385971618165,270.55738632727275,BOT
11,128.158428178751,131.4269882681679,SAI
12,217.76254759033176,207.0536692025233,BOT
13,278.55001499829916,274.21057174058956,BOT
14,301.21747205445655,295.77965978534445,BOT
15,310.7990738962963,304.29041664,BOT
16,242.14310117244514,248.99602783305141,SAI
17,128.2381209109731,130.30148389338234,SAI
18,129.70193928965548,125.57690376419208,BOT
19,117.45668926700671,119.90076390472854,SAI
20,229.716722176,213.91118841240828,BOT
21,254.95727704962718,245.0013323946667,BOT
22,235.99316714666668,240.05288397981656,SAI
23,215.51879059878047,214.9938741139426,BOT
24,137.73660529664656,134.37330765367963,BOT
25,,216.99895573333333,SAI
