Minisector,NOR,VET,Fastest
0,249.1296373599979,247.02824939266768,NOR
1,207.03993879064063,205.16957291786235,NOR
2,201.4482635240475,198.5917946567894,NOR
3,256.37639891301586,248.22534506771734,NOR
4,270.455150105176,265.0704777971093,NOR
5,278.05936981157026,276.0124241856277,NOR
6,163.12795202678186,159.36916084999342,NOR
7,186.84275382695844,182.76440972584274,NOR
8,264.3939252464478,260.5948387047619,NOR
9,289.2698423928022,286.02264561246756,NOR
10,296.89508236952395,296.64345743157895,NOR
11,291.1860819327731,293.980135559849,VET
12,115.71892476718685,112.65060333611767,NOR
13,186.64341319726037,190.50684513651723,VET
14,266.86031572365835,264.39592012985133,NOR
15,291.2743757122042,290.0753103763861,NOR
16,290.86279463218045,290.5164684867725,NOR
17,183.7223747645227,178.19008519632024,NOR
18,221.06043924977504,210.78214158114773,NOR
19,260.5519410921304,258.84530746469784,NOR
20,155.31982263624644,153.7634915205303,NOR
21,144.8285969554673,136.54104399174602,NOR
22,220.9900045348131,215.6802826264316,NOR
23,230.08703324444443,234.50286539144372,VET
24,162.1236558996576,151.78978377162906,NOR
25,,220.83888497777778,VET
