Minisector,ALB,HUL,Fastest
0,264.27373165119076,274.6032697058655,HUL
1,292.99505144761906,298.1656743415873,HUL
2,307.7710453877551,309.72153857833274,HUL
3,315.5702775466667,316.6711906336508,HUL
4,319.96805546666667,321.4767856761905,HUL
5,322.5065475809524,324.8015413322131,HUL
6,284.6671908,195.1411477111111,ALB
7,118.5776204542497,107.91991475862629,ALB
8,153.4268835435695,192.18597921020034,HUL
9,250.11319253333335,264.06731052282373,HUL
10,287.4196419176743,291.2815104,HUL
11,233.28208177349163,158.55337509923453,ALB
12,94.61063759461334,100.22563152911732,HUL
13,111.97311866070065,119.83255988568223,HUL
14,214.60825097835496,220.72103058866213,HUL
15,191.49478474167617,185.54741879906396,ALB
16,225.3277479351636,223.95595276190474,ALB
17,192.21815548571428,173.66693973257347,ALB
18,223.05428681738118,239.96057893998352,HUL
19,271.5123440304646,281.90931394509806,HUL
20,287.8656256,251.13428297960206,ALB
21,162.93385718562055,147.20387847373271,ALB
22,102.44464803006862,99.81067834673584,ALB
23,123.05620833394396,129.10284038522303,HUL
24,207.36721993571516,226.24654052380953,HUL
25,,257.05000106666665,HUL
