Minisector,SAI,GAS,Fastest
0,316.08392667420895,316.99981842025124,GAS
1,323.4429915912868,331.7627814496241,GAS
2,320.0737337662338,334.4479113114638,GAS
3,173.76980440930058,154.11871451705628,SAI
4,131.66637870741943,131.80447897902516,GAS
5,262.35433333333333,260.20199365016106,SAI
6,296.05246245951145,296.43870658181817,GAS
7,308.0082738095238,311.2855120320452,GAS
8,259.0694323107953,258.7428766910758,SAI
9,145.85484459941912,143.74853414537603,SAI
10,214.70203863643843,201.39199842563812,SAI
11,215.92764081379744,197.9460357761482,SAI
12,196.18474471606825,180.96548626995278,SAI
13,266.07163991452893,266.9032771756999,GAS
14,301.9786461345672,305.86474765452624,GAS
15,311.1108964460606,326.6868730353885,GAS
16,265.8431165919414,247.85288594679574,SAI
17,209.55422797913835,194.29747014680134,SAI
18,272.1242658730159,266.5851041680119,SAI
19,304.079138676423,303.038448603356,SAI
20,312.3552814095238,320.48854144,GAS
21,294.0595138888889,296.6626702762667,GAS
22,208.33171059379055,190.9278916924822,SAI
23,263.9376227157287,260.9146942169792,SAI
24,299.837819179352,298.1916957148907,SAI
25,310.6875008,311.15500032,GAS
