Minisector,LEC,RIC,Fastest
0,290.54726708917747,297.20181457414964,RIC
1,301.04701521429075,309.007957437594,RIC
2,305.3566144078847,313.5182869925926,RIC
3,306.5596501333333,304.56416544,LEC
4,176.53796796466312,166.59882375149974,LEC
5,214.5553344733686,208.77280188211458,LEC
6,241.70937484444445,228.5055070778834,LEC
7,265.40290579392445,264.94645904546695,LEC
8,258.1266529755927,254.54353478121794,LEC
9,168.31070316037753,162.07316170912847,LEC
10,232.35315130108975,224.83497543380489,LEC
11,135.9388641409087,127.98254055912575,LEC
12,229.78419338651614,233.00473738971428,RIC
13,195.4504343162762,179.65585491061805,LEC
14,220.44014573012217,223.90649898666666,RIC
15,251.46908316723844,248.82698734050874,LEC
16,264.30203094320115,267.7150099167339,RIC
17,285.5726189393484,287.33372972698413,RIC
18,165.99785658907885,146.54580649755064,LEC
19,176.84238278512714,171.04307259432093,LEC
20,146.63605015677655,146.5445740927239,LEC
21,170.2728612529972,158.01515989236233,LEC
22,114.66191805257415,116.34894972552058,RIC
23,223.36792238165785,232.58199931733333,RIC
24,272.1943829397062,273.879371595199,RIC
