Minisector,BOT,SAI,Fastest
0,233.14918018713226,232.34062553319205,BOT
1,283.1293081478594,281.3192551619048,BOT
2,297.5310471330797,293.8250407772107,BOT
3,303.9537734242782,298.65615485231405,BOT
4,277.05489682150323,265.86201694677794,BOT
5,170.37741334546902,166.68272311122382,BOT
6,262.46356064247203,262.1277989870886,BOT
7,280.4036182231495,280.0480587878788,BOT
8,220.18166565802622,217.30849273163383,BOT
9,224.8334964976547,221.11644993613442,BOT
10,186.81019733108496,181.01508125672854,BOT
11,225.73216994638898,223.47157910882714,BOT
12,208.88529929230643,209.76615636037354,SAI
13,214.56622062186923,212.8086653446598,BOT
14,223.34622220988842,223.59982569575118,SAI
15,185.1816285090382,176.5567513873762,BOT
16,246.56233669207074,245.9463944307055,BOT
17,285.3196452390194,283.5347486146707,BOT
18,298.9506000642423,295.7530918005056,BOT
19,288.33242956704845,287.818425565368,BOT
20,132.38357508598634,131.264281050797,BOT
21,164.17330400981433,159.5572973420358,BOT
22,156.14016241948508,153.4603047328272,BOT
23,209.88859685540305,201.14667022688946,BOT
24,149.93534862302045,145.54319755874297,BOT
25,188.38750293333334,,BOT
