Minisector,ALO,ALB,Fastest
0,293.0069773371928,297.6810478109091,ALB
1,302.27758514781334,309.79537250424244,ALB
2,283.61384314805196,287.9587690813513,ALB
3,107.39538551425983,106.944246022651,ALO
4,216.23740304212558,222.0251102098435,ALB
5,268.4374090727144,272.26293963144093,ALB
6,210.34394730020202,203.83961421629732,ALO
7,158.85062010210817,155.11566939412032,ALO
8,205.5177236136073,193.75581512893314,ALO
9,218.23608989460317,205.382106197418,ALO
10,111.44535749974469,108.79415606097254,ALO
11,227.06326542849035,223.27880923242333,ALO
12,112.50517530584742,111.85879155755103,ALO
13,208.5011818686984,227.10829875324433,ALB
14,280.8530401029864,275.22549173414814,ALO
15,213.47461207958202,214.73475540533124,ALB
16,191.95608668020867,184.8171697193854,ALO
17,250.37905886042327,242.0211562838672,ALO
18,189.917186751439,195.79758440607094,ALB
19,175.83710832669553,180.52752563521244,ALB
20,261.06107962758097,266.23420466424244,ALB
21,290.4767458613564,294.8038720682086,ALB
22,166.40794381795092,152.52876313750843,ALO
23,209.20367448380952,205.66069045466114,ALO
24,275.15442051288267,275.6404816169532,ALB
25,292.8687488,,ALO
