Minisector,OCO,NOR,Fastest
0,297.61865716826765,289.17187504,OCO
1,218.25578798323806,209.9149095013278,OCO
2,140.43081538126344,142.9749654772487,NOR
3,219.02986115555555,221.07792902273073,NOR
4,158.86648083663565,154.58785846857143,OCO
5,176.53110802870026,175.74395953135874,OCO
6,249.59297052154193,247.30178453333332,OCO
7,271.9634540249665,269.35617877188207,OCO
8,282.0975942334464,277.3311402105263,OCO
9,261.2375,251.96686628571427,OCO
10,238.62130896073603,240.4856224106553,NOR
11,239.93492623208402,241.5825771151515,NOR
12,204.19226230584718,206.23950083048047,NOR
13,135.10312259109125,140.72029914628476,NOR
14,143.95091308756574,149.57683238233557,NOR
15,173.21322911118853,186.5327358419753,NOR
16,251.78741431292516,253.94274097603522,NOR
17,240.78858689855073,247.56615647445886,NOR
18,113.3776456137489,112.75806735886525,OCO
19,193.51428567477956,196.15308412839508,NOR
20,191.6065353332831,193.27167178758518,NOR
21,225.68892339544516,232.56412911304346,NOR
22,260.72438346660323,259.3739362301091,OCO
23,277.9705191494191,274.79205702036285,OCO
24,290.1828703407407,285.2899120842105,OCO
25,,289.0,NOR
