Minisector,RAI,MAG,Fastest
0,235.36296355555555,233.2628568333287,RAI
1,285.9067179218574,282.03905366353723,RAI
2,298.0747024761905,295.61452559330615,RAI
3,303.13401794285716,299.98874455411254,RAI
4,273.3605684095014,271.57600875428585,RAI
5,176.21921986499441,170.96770004540244,RAI
6,265.8526292952381,261.0806544571429,RAI
7,283.3672401121329,276.94280299220776,RAI
8,220.61633574421768,217.12250832792077,RAI
9,219.98908190506324,217.8140135550739,RAI
10,189.1076471180375,183.08631023865544,RAI
11,227.76682240000002,222.48730860006208,RAI
12,209.40187209750658,205.30127586959057,RAI
13,217.25950703164008,210.5519447720635,RAI
14,223.78642113580247,220.64298245125502,RAI
15,184.58476140698414,181.28864563303395,RAI
16,248.81201518397393,245.8008283265228,RAI
17,291.75102843290045,290.0714281142857,RAI
18,308.57062522666666,305.01979152,RAI
19,294.6604406428088,299.2687240311688,MAG
20,129.87344524522823,128.76514393250994,RAI
21,167.67634956824543,166.43319016839627,RAI
22,149.76452387164525,148.50664599727892,RAI
23,206.77606681123632,204.8400238169516,RAI
24,142.79241348207574,143.69093686441988,MAG
25,,181.46666560000003,MAG
