Minisector,LEC,GRO,Fastest
0,256.59767523266186,255.82689650411942,LEC
1,199.59420453590857,205.51900916438476,GRO
2,219.97976111275182,221.91674156047762,GRO
3,263.0135812838626,264.03550767701864,GRO
4,276.62713620666403,275.580843781572,LEC
5,220.55879991929052,212.49988568437834,LEC
6,95.58601523534843,95.75482442149412,GRO
7,183.33054156703884,179.97307644801487,LEC
8,277.80128997381615,277.3097130077788,LEC
9,302.90931325956126,304.1019095296295,GRO
10,314.61240529653867,314.69954408445994,GRO
11,314.56187091420634,305.50393903779394,LEC
12,107.32318200347498,103.06565051639785,LEC
13,216.05137497709512,208.41640703606313,LEC
14,280.55821839586275,276.1281020733425,LEC
15,299.0049600408694,297.5853034290827,LEC
16,234.37933299482734,230.68365087521087,LEC
17,121.96724598894875,121.8555211756805,LEC
18,144.20047887949835,146.78937354800868,GRO
19,254.28992479815963,254.68214854118386,GRO
20,146.89908904814735,155.79306365806437,GRO
21,124.53250141395279,124.52624928333796,LEC
22,194.89136607608322,200.84333178404242,GRO
23,194.56274017809577,199.17985793314023,GRO
24,162.99538370380307,161.05257314309284,LEC
25,231.90416106666666,228.541664,LEC
