Minisector,HAM,NOR,Fastest
0,279.0425385192311,278.7362205087818,HAM
1,292.3485355284641,298.93574881026984,NOR
2,287.32375650081724,294.9213756621877,NOR
3,176.7182438928751,173.2687331150892,HAM
4,128.4400546438448,124.32106976430528,HAM
5,242.94230649039937,240.86159398738602,HAM
6,280.9951057213404,282.74262773333334,NOR
7,286.1049604825397,288.7946142695925,NOR
8,186.91943730498784,185.2350797498609,HAM
9,153.55374027687338,144.2797994327923,HAM
10,256.2095986044001,254.2990343983826,HAM
11,291.32765581274447,289.8184519497143,HAM
12,299.07474906742596,298.73395253638097,HAM
13,276.12256084436143,282.03718117110077,NOR
14,292.8896904655238,295.3789690837237,NOR
15,292.7946018177613,298.21620645653053,NOR
16,248.9963345316656,249.99366084813784,NOR
17,232.95429794767622,231.4443707766586,HAM
18,278.03311285502645,279.49370581898097,NOR
19,294.1583185379172,298.827034980693,NOR
20,291.21050996877267,297.5791132728735,NOR
21,234.6078320963415,228.99074687117428,HAM
22,264.99689834667964,260.99341772261994,HAM
23,144.77037699709234,136.56521879207446,HAM
24,225.6962993858983,219.84063975724274,HAM
25,261.06666666666666,,HAM
