Minisector,GAS,ALO,Fastest
0,254.27018480643474,252.1867953643435,GAS
1,218.0830045678109,214.16069996744932,GAS
2,203.65146647188448,204.68523235178128,ALO
3,255.9699875318525,260.12492657700653,ALO
4,271.05985963011057,274.73984689132124,ALO
5,286.350259121552,291.11460237799156,ALO
6,168.15540758840228,165.0282813547963,GAS
7,175.16764205067074,177.18719625901943,ALO
8,265.7741125626498,265.741633892987,GAS
9,290.3542629811371,291.2595865464082,ALO
10,300.65639520288073,302.67110841848455,ALO
11,300.3596840986575,305.0160683323407,ALO
12,114.83119214210197,114.2619167361002,GAS
13,186.5023852605536,182.0805950056889,GAS
14,268.97568756211064,269.57824125428033,ALO
15,292.6262567874599,294.7575267472918,ALO
16,300.80038859007914,302.1598059243181,ALO
17,186.80065416069255,185.58160565885996,GAS
18,223.35146583131046,216.15542553012946,GAS
19,268.308136067599,260.77652470747313,GAS
20,157.14357141404662,155.64775405102876,GAS
21,143.3944220279269,145.77141964554855,ALO
22,217.15088683569567,215.06609049844403,GAS
23,231.69603872504882,236.59891403568375,ALO
24,157.7000854523703,157.8670352129811,ALO
25,225.33333333333334,225.32154275097392,GAS
