Minisector,VER,BEA,Fastest
0,282.42368812867727,291.1336594426272,BEA
1,150.97015674119984,147.34126403190723,VER
2,237.84364376046574,227.3348239964322,VER
3,285.4952571552778,280.0604650938525,VER
4,312.7900996769766,311.4460142334199,VER
5,308.60593585981,302.14195573280705,VER
6,155.26352233206154,151.89871231280952,VER
7,253.40155685921837,256.28815954995616,BEA
8,114.56550924868436,112.57273353471429,VER
9,177.0062049506899,175.3590272694472,VER
10,275.74944835344695,281.35545649982873,BEA
11,301.5703499227429,305.0143693919628,BEA
12,213.60561411290828,214.69706397768041,BEA
13,171.38916929895873,170.7179992118013,VER
14,281.84112308451347,280.8510743423457,VER
15,314.09320415478675,312.995845415873,VER
16,326.6801019616557,327.5460687512937,BEA
17,332.4710177462857,333.7099477084617,BEA
18,335.77268669123174,337.11350655910366,BEA
19,337.6128344493424,339.5431762705314,BEA
20,198.80794091209387,188.03949827468745,VER
21,182.24773223073396,178.97977091438358,VER
22,282.6551872490472,284.325632538446,BEA
23,311.96036176255654,315.1401975366289,BEA
24,322.01663890460156,324.2088256740136,BEA
