Minisector,BOT,GRO,Fastest
0,287.5965277037037,286.6736110814815,BOT
1,297.522678163293,296.89832904558756,BOT
2,302.1236978857143,300.48869045602237,BOT
3,304.2259799215686,302.07942833333334,BOT
4,188.348459563801,167.03393264201134,BOT
5,222.7931816727273,210.7480209201175,BOT
6,249.5585119743632,245.44166677333334,BOT
7,269.886873118797,265.15153487719294,BOT
8,271.06157347724866,266.7145986325815,BOT
9,173.4313002457071,168.4215454680727,BOT
10,234.37023779740258,232.81420412121213,BOT
11,141.95539720050965,138.57625000572975,BOT
12,225.3175573740812,219.57427538550726,BOT
13,207.1050841777778,198.688499712,BOT
14,217.34894549191318,209.74479804554863,BOT
15,252.83145845333334,252.4515870984127,BOT
16,262.9401630877193,263.09673244526834,GRO
17,284.845325032791,281.99007935661376,BOT
18,143.04796425368022,138.61233960810105,BOT
19,162.3709868531142,153.66635286751287,BOT
20,150.50709508325653,145.89266470812325,BOT
21,172.11760743225807,173.40911305501444,GRO
22,124.22515029527554,117.32838827318494,BOT
23,227.00275004081635,220.34039930434784,BOT
24,268.2258776140351,264.7581021375661,BOT
25,281.26666666666665,278.7529026078894,BOT
