Minisector,OCO,GRO,Fastest
0,263.5352902339416,262.3356189396551,OCO
1,134.89015989817386,134.6966795853646,OCO
2,265.9996618892377,265.1592559644252,OCO
3,307.8847750359008,303.349626080829,OCO
4,307.07521047960887,301.0903808914286,OCO
5,313.64822592513576,307.7399306666667,OCO
6,319.0496528,313.9141369904762,OCO
7,316.90973375508753,316.69635413333333,OCO
8,202.70608284929736,210.38310628571426,GRO
9,197.67253924736164,199.02051967830687,GRO
10,185.04012116462587,189.52484156325133,GRO
11,161.15457744344428,159.19038109019118,OCO
12,252.7158346361215,248.7061909536508,OCO
13,277.4052467753086,282.96915160038157,GRO
14,278.2662501058495,281.4505391041593,GRO
15,269.69751189659866,286.75180847472524,GRO
16,185.23250200121194,186.67662968302744,GRO
17,188.78099214144154,194.53216095301917,GRO
18,242.48396921691787,236.53934084761906,OCO
19,289.4865710384762,285.6433223247863,OCO
20,312.93883332266665,307.10258088384927,OCO
21,319.7383453371981,313.8888576729982,OCO
22,318.89484326623415,314.1402176079014,OCO
23,261.13339875002646,276.48150631957674,GRO
24,113.37889197945454,110.63051090162033,OCO
25,229.27860287815048,225.86666737777776,OCO
