Minisector,NOR,GAS,Fastest
0,258.3053530646326,244.09635932333532,NOR
1,136.0474296639624,126.71346671648351,NOR
2,204.09455678476192,202.48262173454856,NOR
3,248.4854376495006,249.49699438120635,GAS
4,256.477498688,250.78159282637364,NOR
5,171.59914057439465,172.04486745258228,GAS
6,144.40017157686643,148.31431255516398,GAS
7,183.86546994370735,187.32798620056855,GAS
8,95.19740731678623,104.20664106108596,GAS
9,72.47335796645365,72.17203811042774,NOR
10,95.39128007575927,99.65469240429815,GAS
11,188.38303382505495,195.00790799157895,GAS
12,245.57054814050358,249.51017132880926,GAS
13,269.24985028808203,270.25342567335497,GAS
14,277.1267835885714,266.6314190425397,NOR
15,104.53655867141953,107.9387068559566,GAS
16,151.87336089242524,166.09583366666666,GAS
17,185.02419786078718,182.02042003852443,NOR
18,202.36188428507458,202.90023499382812,GAS
19,219.11870306962962,204.5212432952381,NOR
20,142.6999341374506,137.8318680332158,NOR
21,118.50495122770171,92.65287324072135,NOR
22,98.08092277298603,101.55130404598573,GAS
23,200.25391722218487,208.1385567704844,GAS
24,254.69481741679814,252.81645443739825,NOR
