Minisector,NOR,VER,Fastest
0,276.7919076738047,271.154147203208,NOR
1,304.9420166385331,298.95513742678,NOR
2,326.828500288,312.141690354215,NOR
3,337.64786259369316,318.3925923555555,NOR
4,342.8985161717223,323.50305055873014,NOR
5,332.93226994285715,324.61701600344094,NOR
6,199.20517228281903,212.4541138695238,VER
7,104.99104154798648,107.77507600441879,VER
8,184.7313488740736,184.9301332579211,VER
9,265.0740521592053,261.23215409938337,NOR
10,296.8272424242017,289.5606693742857,NOR
11,174.6294152588297,171.557917612693,NOR
12,94.19385986891909,95.80614082121367,VER
13,113.74860598104249,115.35061719392445,VER
14,219.49370758023755,216.47388996740742,NOR
15,187.55972817299443,190.78100675137316,VER
16,216.14825559706287,226.54390421852827,VER
17,177.1368171376837,182.42166699515153,VER
18,241.12307072593526,235.09230125097673,NOR
19,279.12743056911296,276.32640674904064,NOR
20,240.69177118423744,258.156208804127,VER
21,147.56759118032193,149.64999580318573,VER
22,96.67633837765844,94.18020430899868,NOR
23,124.56959279406766,126.7585236585843,VER
24,233.48297097396065,224.4531227691775,NOR
25,,255.21999616,VER
