Minisector,ANT,HAD,Fastest
0,245.96909773965606,248.73335719963148,HAD
1,132.2821484973772,132.27060958148428,ANT
2,278.12433831316946,279.36643876063494,HAD
3,314.8513424656448,320.7228609594342,HAD
4,297.4276648575691,298.6464783551323,HAD
5,319.3621462208482,318.4849835409636,ANT
6,319.62025028739316,321.9217128237037,HAD
7,314.14857498239996,314.22944759590246,HAD
8,195.75096566583304,194.0335348222233,ANT
9,193.47326002987256,193.72277097381433,HAD
10,178.9269962295439,184.74658325252952,HAD
11,176.79657737853003,162.98725544404104,ANT
12,244.84899266281096,239.9659497807782,ANT
13,263.6548119402181,261.0479661225036,ANT
14,256.5713317748515,271.73145817075175,HAD
15,247.32755353381467,260.75515438499997,HAD
16,173.74861577895916,167.51845987158478,ANT
17,188.14180383740674,183.38231025227606,ANT
18,252.00969018448978,242.44212724712372,ANT
19,303.06251678191256,301.02366698587144,ANT
20,325.3612609328655,322.8352837010011,ANT
21,314.1652469814816,313.4782606879227,ANT
22,290.7797749824339,301.29562562076245,HAD
23,250.87342767496747,261.0761027501919,HAD
24,117.79052211171897,115.38782726007979,ANT
25,220.4,219.0108319288889,ANT
