Minisector,VET,RAI,Fastest
0,300.27546135064307,314.1597018120894,RAI
1,254.6740376773371,244.19929016488257,VET
2,213.63091372389846,200.15202188388105,VET
3,272.72938304415584,268.4167835839724,VET
4,246.77219064184294,219.2332094721591,VET
5,121.91853941452459,116.58657532131221,VET
6,188.0128911307518,181.62168180216514,VET
7,260.74422640473205,261.75601418301096,RAI
8,288.6461974167947,289.55852680955934,RAI
9,301.7918799689683,302.85500501418943,RAI
10,307.16111126349205,306.3213848777026,VET
11,228.41441996238547,192.7327042459678,VET
12,146.20650805309447,153.53764297162616,RAI
13,261.17363725839317,265.22625149922214,RAI
14,291.9725430603268,293.2337898197657,RAI
15,302.4985352405078,301.60521151502184,VET
16,299.31414397097507,297.9881301485086,VET
17,278.1530876128968,243.15872186969338,VET
18,199.10078491287283,185.2712415835994,VET
19,195.69187496983275,169.21460683085127,VET
20,195.44503465582292,215.07578382122608,RAI
21,255.39236841390945,226.22084056516948,VET
22,131.83440747148066,123.9563118494828,VET
23,204.3513313700896,232.59008710374005,RAI
24,280.79298508351513,280.9644866187149,RAI
