Minisector,VER,ZHO,Fastest
0,315.7675185273201,319.64879388070176,ZHO
1,324.6840081095551,337.3572294372294,ZHO
2,325.72733147301585,339.9626063168015,ZHO
3,186.84377389053225,185.81191218609513,VER
4,129.43398521717438,124.8625420219251,VER
5,259.0778459114667,261.1133280782222,ZHO
6,295.85445931419315,298.9734693877551,ZHO
7,308.91167566836367,312.6089028266667,ZHO
8,265.7204438120546,253.99948095238094,VER
9,144.93224766918877,142.00850464267643,VER
10,216.02655305290324,206.0043804016182,VER
11,213.7506426552381,203.4220605526161,VER
12,197.96601728201682,179.1207172297134,VER
13,263.9448283106543,265.7247391476011,ZHO
14,299.0955514748904,309.88075405714284,ZHO
15,313.94807006745333,329.56055555555554,ZHO
16,267.6416501585348,259.09761304446596,VER
17,209.89330511029908,197.8763787878788,VER
18,270.27676533684985,269.07616185958017,VER
19,300.5944388842481,305.8864821428571,ZHO
20,314.1379194038689,319.5733135591232,ZHO
21,296.8317476170159,298.9016439909297,ZHO
22,211.14246951894415,188.76188758357307,VER
23,259.438048584127,260.9247314049587,ZHO
24,296.43951649637256,301.3182825846192,ZHO
25,306.2812512,315.0,ZHO
