Minisector,LEC,RIC,Fastest
0,273.2762166013288,275.4492542125004,RIC
1,294.2146215539859,296.0349047649524,RIC
2,292.4602431111111,290.59625394711196,LEC
3,185.37425994016036,175.91100591498258,LEC
4,117.8400643793884,115.85398477796868,LEC
5,234.72300783184468,236.49045646451611,RIC
6,281.3054283152009,279.6546471794872,LEC
7,295.3149998506667,284.69583372307693,LEC
8,181.11241192977735,177.39938421165832,LEC
9,141.4756435942378,140.13882409646754,LEC
10,247.9164006568981,250.7514363218391,RIC
11,285.05200042666667,288.1347586506899,RIC
12,296.3489098122863,296.46789117584933,RIC
13,276.5852843548992,285.03297621333337,RIC
14,293.5773067936508,295.15711429406144,RIC
15,296.6009080448169,291.8878573714286,LEC
16,257.94798753103447,253.2199326672495,LEC
17,221.17925484675587,226.03111933333332,RIC
18,275.5148154469136,274.5951073082995,LEC
19,296.6404115605887,294.51924590476193,LEC
20,303.2506665386667,301.56927079999997,LEC
21,234.70373993766756,232.4732404379936,LEC
22,261.31439179561346,254.1777492414509,LEC
23,137.66222867357038,135.40593946276354,LEC
24,208.54706481818283,209.78220191399538,RIC
25,254.3250048,257.3333333333333,RIC
