Minisector,HAM,TSU,Fastest
0,301.0474567139847,289.7060003337143,HAM
1,318.4131612547743,300.1535234900585,HAM
2,330.1155112793651,306.5166665955556,HAM
3,334.3062261433063,309.6464223472278,HAM
4,197.69731310180288,190.89218062500768,HAM
5,220.22299211924076,219.4142605141046,HAM
6,269.1247783324444,266.5046594448254,HAM
7,269.3460508250945,254.7996213708309,HAM
8,193.8216384849554,191.6088775471921,HAM
9,143.51684812994404,145.32778963593537,TSU
10,185.87672378359926,180.97050840067735,HAM
11,265.74797797647057,264.763804942026,HAM
12,250.23524056098003,243.42101318155468,HAM
13,232.88904695379034,226.62594769416899,HAM
14,273.62071589931526,264.8090810845781,HAM
15,170.25137149285123,167.7228582193696,HAM
16,219.86098359443224,231.5887634727619,TSU
17,236.38711169223706,240.85168461056824,TSU
18,139.66320011026158,132.56590107166764,HAM
19,251.60181895675248,246.2277256950917,HAM
20,286.63480937614315,284.7784135923809,HAM
21,241.60729803982684,235.8203256687852,HAM
22,143.73757967772002,139.5477625441579,HAM
23,223.00323163033127,217.9809500221824,HAM
24,273.1912059773738,270.2781860732895,HAM
