Minisector,RIC,SAI,Fastest
0,291.00545153576536,300.43476364914716,SAI
1,300.4199544743764,319.8289057997321,SAI
2,305.6767838889357,327.5394736280702,SAI
3,300.3203323584606,324.0580829433584,SAI
4,203.4639485998577,189.94515432443498,RIC
5,224.0883009622081,228.41607874645598,SAI
6,268.14756669482404,271.4781331177832,SAI
7,275.32123808431385,264.97878136084023,RIC
8,197.63206008553462,192.29635287505383,RIC
9,160.81485625416667,149.2570813246583,RIC
10,190.1335238854261,195.28062682516475,SAI
11,259.97758765714286,263.4897252586755,SAI
12,253.95866743466667,243.41354250726332,RIC
13,236.35104715721954,232.25918135814766,RIC
14,268.0141265289926,275.34223112668684,SAI
15,182.335993627564,171.44589926383526,RIC
16,224.94910605500283,221.80801648504178,RIC
17,249.5459237109975,243.6228602028027,RIC
18,141.1530990251596,138.82577389293309,RIC
19,241.2795379873016,249.11222051072755,SAI
20,279.39002565656784,283.94039818535464,SAI
21,260.25913638968785,241.38550473145648,RIC
22,150.63375598536115,144.60556571937977,RIC
23,215.20977277230028,217.89587996113292,SAI
24,271.12190864593987,275.99532358756113,SAI
25,284.3357129142857,,RIC
