Minisector,HAM,GAS,Fastest
0,252.42858247576717,246.8248190698811,HAM
1,217.25157350054934,204.80714830705685,HAM
2,212.23309517774064,206.40824717300316,HAM
3,261.08416411048296,257.6645118983496,HAM
4,275.7139770888312,272.1320979353361,HAM
5,293.7094388716553,285.36654249650894,HAM
6,151.71400781185832,158.29442039312934,GAS
7,184.20616730048678,182.865419821486,HAM
8,269.1179524549184,265.0309163724954,HAM
9,299.6913661563581,292.7034845915152,HAM
10,310.90522175657327,304.23069440790124,HAM
11,307.9747932635746,301.27636863637457,HAM
12,105.72915595617403,109.9913299508345,GAS
13,195.3665001877211,190.38637013013823,HAM
14,272.59449286852293,266.9145728805577,HAM
15,296.6069083555599,291.6078748899048,HAM
16,300.0354823774892,290.15069745788094,HAM
17,188.72672719504195,185.36951571809524,HAM
18,225.6146405185185,219.60507493348385,HAM
19,272.27250077605476,261.82266577741495,HAM
20,146.72802352756494,142.32063230824573,HAM
21,148.14220210108527,142.75722633138025,HAM
22,235.27973678470863,214.61357287931622,HAM
23,236.7992801025641,228.56361323398093,HAM
24,162.07515401319512,156.80752844444444,HAM
