Minisector,BOT,NOR,Fastest
0,310.2617119890284,300.60758380811285,BOT
1,239.06388806464645,239.04318131722152,BOT
2,131.43012905584038,131.9895233220487,NOR
3,239.39502618108074,239.2851559,BOT
4,186.1225261000414,189.43235484588718,NOR
5,245.4231025498819,246.47623794087517,NOR
6,227.1004896362007,232.75791786157885,NOR
7,256.66599497634405,258.8815376713574,NOR
8,293.43427445144323,285.2594137679012,BOT
9,205.3479159338346,207.21545677975698,NOR
10,205.6702754978918,203.6477008926641,BOT
11,274.8185163047619,271.146018384297,BOT
12,211.31703261983918,209.7533584019208,BOT
13,251.5402247973153,249.4954570415533,BOT
14,294.134833069545,291.08800412014654,BOT
15,311.4759647751608,303.4347435295012,BOT
16,314.5069789740865,298.7972754051282,BOT
17,225.83733500656157,232.58770385186335,NOR
18,269.9005509939607,270.9369259034483,NOR
19,304.20316680533335,297.812283828853,BOT
20,320.7797010692461,303.1230768820513,BOT
21,318.41173092698415,292.858544747231,BOT
22,148.62140827733896,151.92581596862746,NOR
23,237.83638927493627,238.99005511766512,NOR
24,299.246723102188,287.94566580574354,BOT
25,313.6166666666667,,BOT
