Minisector,BOT,HAM,Fastest
0,324.40905905573317,323.8878786181818,BOT
1,334.0350906702948,331.33901586475565,BOT
2,338.95286260819046,327.95221870822513,BOT
3,192.30453319267397,195.50090044803142,HAM
4,120.70254230056497,124.46450147814976,HAM
5,268.0515172228278,265.20335584197534,BOT
6,306.5479166666667,301.86765845079367,BOT
7,322.4734848969697,316.330615884058,BOT
8,279.8103740702828,282.2211918872381,HAM
9,141.04928897326067,151.71935126241135,HAM
10,230.59725461136713,228.54866196686868,BOT
11,212.23409018511666,224.75278975238095,HAM
12,197.655442445541,203.69175905531594,HAM
13,270.79444448395066,270.69643522801704,BOT
14,311.98754140183223,307.0282773542095,BOT
15,330.1386963506128,320.8925724289855,BOT
16,270.04026678969774,273.6947640647119,HAM
17,196.5936039226178,213.65405241456583,HAM
18,269.46661817325025,275.22625005599957,HAM
19,308.45316117321215,308.82934757101447,HAM
20,325.5151515151515,321.9239342500445,BOT
21,316.360981068739,306.0631222592133,BOT
22,205.89288410517887,216.03589666058923,HAM
23,263.59219381210136,268.25145449876544,HAM
24,306.4180951710476,306.11661465838506,BOT
25,,318.0,HAM
