Minisector,VET,PER,Fastest
0,307.4738847928345,311.1361691155077,PER
1,237.80091041320534,231.61163921579723,VET
2,144.49142817946864,134.29714308705232,VET
3,230.04720292583715,217.37926878710147,VET
4,268.18988916128774,263.2795640607121,VET
5,289.6084272338661,290.2388497019537,PER
6,303.24236339621694,304.44027797333337,PER
7,289.07619386359016,278.20804649415174,VET
8,183.53160219737336,172.28655924073922,VET
9,241.95766700150585,241.5455655900873,VET
10,274.1775599613006,275.59314844249684,PER
11,277.6618369901488,258.71126202798285,VET
12,219.9254866661742,201.7104277700549,VET
13,138.078896513175,128.50338086941625,VET
14,126.93873244656956,127.17333023424817,PER
15,180.18973525675548,167.54694608952667,VET
16,124.88869480741899,128.2715175089108,PER
17,231.895532939048,231.19474570938985,VET
18,210.8879002563015,180.92749367291373,VET
19,162.1650321065855,171.04330066248986,PER
20,245.64114899019282,250.34511191598853,PER
21,277.11285671746674,278.8450197340419,PER
22,293.4507880723902,296.4294271885017,PER
23,302.54123939562885,307.7808686079364,PER
24,307.87564883311734,312.9752778666667,PER
25,308.66250026666665,,VET
