Minisector,OCO,ALO,Fastest
0,272.32795919774844,273.64541836229625,ALO
1,292.3969236021027,290.1623988578897,OCO
2,269.02184759259256,277.37389291396846,ALO
3,153.88721159441795,160.13200682700491,ALO
4,194.28856086629148,191.17123121607167,OCO
5,167.63763148839507,171.96994627059416,ALO
6,157.8368713331189,166.91692730268304,ALO
7,188.94413437908497,190.01588476104766,ALO
8,239.41105944151755,243.51685809133,ALO
9,217.2903833150019,236.53459202936043,ALO
10,137.37948259452585,145.14501298401672,ALO
11,218.50089222128221,217.96843529862755,OCO
12,110.56909520038471,111.06074321633547,ALO
13,211.00423504449543,213.39537955225396,ALO
14,263.67687599891156,267.017056103826,ALO
15,270.5570544216133,277.0031114528138,ALO
16,169.98465209933536,185.9978089778317,ALO
17,156.5931405739305,160.11223249713677,ALO
18,251.79931411128868,256.32091070496506,ALO
19,280.88914583141366,284.460238032617,ALO
20,293.88332070175437,294.69498536282845,ALO
21,282.00306225452897,293.24977109656567,ALO
22,218.80932935520738,234.85787583746344,ALO
23,101.37420197598857,96.71038894631674,OCO
24,225.2609305940983,224.17521071590366,OCO
