Minisector,NOR,GAS,Fastest
0,256.03457710930945,257.714438919224,GAS
1,203.95276359033195,202.28362897659343,NOR
2,221.36483497748696,217.76196098064517,NOR
3,262.5216047407407,259.95754589737084,NOR
4,276.5342076201141,274.0316664,NOR
5,223.64248590548726,221.16998762364872,NOR
6,94.65263339492903,95.54694714717789,GAS
7,187.4397840949748,183.31193623063064,NOR
8,269.16189379608977,268.4431344563389,NOR
9,289.27211462611257,288.901295090354,NOR
10,295.9154659957857,295.76524141525846,NOR
11,292.4420298086957,289.0138630812679,NOR
12,113.46299627509994,112.82788892946436,NOR
13,217.72877046088945,215.08050232814878,NOR
14,275.48166598095236,275.71766882563264,GAS
15,293.3522568888889,293.48178053830225,GAS
16,225.43078296774195,221.17237835551384,NOR
17,121.71601859236225,121.6003804818846,NOR
18,150.83685121473073,151.79315487383818,GAS
19,252.74525951322752,253.2774028698413,GAS
20,155.6751002472319,156.83955820863986,GAS
21,130.6604046971309,126.89036304862312,NOR
22,206.78953851817414,202.726750767507,NOR
23,207.86365362922493,204.40992764896654,NOR
24,165.61595088737073,166.72195080348874,GAS
25,229.88333226666666,,NOR
