Minisector,RUS,LEC,Fastest
0,303.54930083321904,304.8090248999619,LEC
1,140.81160078486857,139.2747357201834,RUS
2,215.67041669333335,213.5384154673439,RUS
3,274.8898393946149,279.130780700114,LEC
4,312.91494047577027,320.28628294857145,LEC
5,319.5001468302792,315.145748358459,RUS
6,150.73846895131675,145.34840193986645,RUS
7,246.23947447641325,242.16518887152003,RUS
8,120.05506878163062,112.44819217117075,RUS
9,130.8947958883589,148.76088595613277,LEC
10,267.8922547162138,276.0594926863768,LEC
11,299.26378213818185,300.42551123116885,LEC
12,259.14005094352007,241.59202142002115,RUS
13,155.98986832756384,163.6424990923561,LEC
14,267.73671003437454,272.9420958637819,LEC
15,304.41666211601733,310.6474529649524,LEC
16,319.8615603153623,328.4615864892002,LEC
17,330.6509482076564,338.4853448596825,LEC
18,335.8096102508642,348.35441973714285,LEC
19,335.3368985498413,349.4526784240602,LEC
20,239.83431099908287,184.48269526718934,RUS
21,149.05805223321715,167.63306672313337,LEC
22,271.6831873484058,278.0817139980771,LEC
23,308.66782079125977,314.56419548121215,LEC
24,324.4693523428571,328.3051514860606,LEC
25,324.0,,RUS
