Minisector,HAM,RIC,Fastest
0,234.48746153700435,232.39772462222223,HAM
1,285.52931228782717,280.53756712281574,HAM
2,302.1200757818182,293.1590284204378,HAM
3,308.60479168,295.5625000727273,HAM
4,278.48987092537817,270.67693490175844,HAM
5,174.61218292311963,177.38625817251702,RIC
6,265.12707568451935,258.2998838034116,HAM
7,282.5625541610389,275.1056612753623,HAM
8,218.1357975793257,225.79412362979204,RIC
9,221.18461972016462,217.59118430755558,HAM
10,195.16181386897546,193.70672410304113,HAM
11,223.43350762405677,222.84255057632654,HAM
12,204.5122112639017,209.330824273137,RIC
13,221.85630028584887,216.79460342349205,HAM
14,222.76307498456487,224.2066938018881,RIC
15,181.43834369808008,189.14467402795137,RIC
16,251.11112018451774,247.82311877648698,HAM
17,293.64594551458777,287.53031763301584,HAM
18,312.3208333333333,303.2700396698413,HAM
19,302.2813490285714,294.57321376277054,HAM
20,132.54875661663547,133.6485531335661,RIC
21,167.6399010813977,168.49780759369222,RIC
22,155.27273594554345,153.83775403598116,HAM
23,204.4242126311172,212.60038271264366,RIC
24,147.80884063749966,146.41710386553277,HAM
25,187.33333333333331,179.90000213333332,HAM
