Minisector,VER,PIA,Fastest
0,253.64186804970726,254.9619102590476,PIA
1,211.63498614030163,213.2678101787586,PIA
2,202.7105359576541,206.73515872122604,PIA
3,262.46673909520047,258.53094671634796,VER
4,278.7889653794345,274.8113347731997,VER
5,294.04219392249246,288.1088293728395,VER
6,141.39340616840263,160.08668733699048,PIA
7,195.77287005573194,181.5114806498819,VER
8,271.4904797378695,268.93949403442423,VER
9,298.50201971163057,297.8490675968951,VER
10,311.0274202663731,309.12340460948303,VER
11,310.8417992460243,305.9917402369161,VER
12,108.56808411987456,109.78968953789658,PIA
13,200.52082384482384,193.0846636238019,VER
14,271.5922800299415,269.0974506683353,VER
15,296.36113638358444,295.29661110222224,VER
16,298.40482877633474,297.13218973605444,VER
17,185.13157753326766,191.388996845,PIA
18,219.65947565011703,220.85209259918366,PIA
19,271.5883333333333,271.1685931532468,VER
20,142.60497556790395,154.3005278041771,PIA
21,145.35535119830908,144.72215920925169,VER
22,220.5072068471795,222.39562218114824,PIA
23,238.73011612072258,235.42225083392432,VER
24,160.62389169500995,155.39409652641464,VER
25,225.01499904,226.0,PIA
