Minisector,HAM,RUS,Fastest
0,270.8182254730159,270.58450916492916,HAM
1,292.7723584059321,290.07796853602423,HAM
2,301.8255024453637,295.15357124010023,HAM
3,134.6069783126121,123.52079298061538,HAM
4,197.41291843280325,194.46888737042445,HAM
5,255.58313508571428,252.07499671869132,HAM
6,148.48861282529282,136.30369493827328,HAM
7,210.33792775923808,201.19782561379628,HAM
8,260.36854956658766,257.358560522449,HAM
9,279.21204590018556,276.1026914792344,HAM
10,239.50102949869074,229.09732841217934,HAM
11,191.4472761391232,170.41149476270772,HAM
12,190.02778433265973,188.69416865563136,HAM
13,152.17819967219327,141.92395467271768,HAM
14,183.88207820125902,178.97583281777779,HAM
15,169.20914475924343,161.0052321834868,HAM
16,217.91182566893292,217.11966685866668,HAM
17,236.1103123382246,227.9549203950829,HAM
18,240.14561855303782,234.81666671304347,HAM
19,252.3624993015873,227.26898530807327,HAM
20,147.79175449851698,141.69348859302636,HAM
21,141.41706228268018,131.4484290562993,HAM
22,172.88393441254547,170.1137629582344,HAM
23,157.4768307434736,145.6498487847475,HAM
24,230.0600529183158,228.42470183745766,HAM
