Minisector,NOR,TSU,Fastest
0,287.1588544,304.0427796935818,TSU
1,293.7946198603341,318.01031761269843,TSU
2,278.6715267555556,289.02074827542936,TSU
3,113.71566823148886,108.84134578536396,NOR
4,223.42107927407358,228.28170664515002,TSU
5,274.4744219926114,287.15750136935355,TSU
6,227.17730402264607,220.50596199560493,NOR
7,159.48839747471297,156.69677099677617,NOR
8,215.21466104825902,205.84730186775982,NOR
9,225.20632224367816,216.51303755698925,NOR
10,121.07251434368874,118.24325136587137,NOR
11,230.0786674499376,229.26900923543383,NOR
12,126.33872175693166,124.65341165975292,NOR
13,222.42571931954024,224.15065822791462,TSU
14,277.8570722806277,278.8048383966005,TSU
15,228.58999886222222,215.360348627957,NOR
16,187.92338442308463,192.3905455135069,TSU
17,243.87469103633157,251.3929032908425,TSU
18,208.6702961795491,205.77982032421988,NOR
19,175.81927093664538,178.67529821421337,TSU
20,262.77578980845425,262.64078042486506,NOR
21,283.78271206294,288.5893119072464,TSU
22,182.39960086693455,175.36682964519994,NOR
23,211.03477540917845,214.2854851096774,TSU
24,269.1346993980332,269.48442482936133,TSU
25,281.7625002666667,,NOR
