Minisector,RUS,ALO,Fastest
0,269.49816686842905,271.448582776,ALO
1,244.1731492739469,247.82534509968255,ALO
2,117.03559219883968,116.61604820032521,RUS
3,171.22656779064582,170.59667857460317,RUS
4,193.65928958754736,192.12233956915352,RUS
5,197.38810891567107,198.2528755978836,ALO
6,262.43303549002076,264.555985674908,ALO
7,285.20902803137255,289.46210467463203,ALO
8,228.59965683039593,219.19283026845,RUS
9,145.59692896279356,147.29470649818182,ALO
10,117.14214329231511,121.37718153392501,ALO
11,151.54281270422595,150.39905676523907,RUS
12,243.41220747881297,244.21463200484848,ALO
13,145.08316159374155,146.9122733740872,ALO
14,147.99425984154027,147.60984845403365,RUS
15,105.6482126831669,104.32466047710157,RUS
16,224.55167962993247,215.72786261671956,RUS
17,230.35223175455556,233.8386867506897,ALO
18,115.60222650834064,128.57798969558442,ALO
19,240.12337067528054,240.77569957185185,ALO
20,272.570108630303,277.2246234927561,ALO
21,204.89561450132132,202.94627820571404,RUS
22,150.64494665606125,148.4122404203896,RUS
23,215.16302751291735,212.51030110827838,RUS
24,227.84309497087276,228.37173581240287,ALO
