Minisector,HAM,BEA,Fastest
0,274.4716281556254,272.1816341714286,HAM
1,253.1357654164502,247.54717790970787,HAM
2,121.59792387675085,119.23609090094861,HAM
3,179.73145564218183,168.91591455904762,HAM
4,196.84562883526098,192.04575363202477,HAM
5,204.00997630927912,198.36383854314573,HAM
6,266.8469553124926,264.2621606269239,HAM
7,287.16890728694676,286.1206023111111,HAM
8,248.6188254196578,229.03809967582546,HAM
9,151.87927090816126,147.31584472644138,HAM
10,125.45332699298335,121.43548149054757,HAM
11,167.1546990204474,161.93355128259188,HAM
12,249.99052963878788,247.52149644640693,HAM
13,163.96303187694943,154.6809074408758,HAM
14,154.87592428619058,142.38557831075727,HAM
15,112.94349939317213,106.52487085985334,HAM
16,219.130115003242,220.1603717257444,BEA
17,249.18469656908402,231.2218480769925,HAM
18,134.8707043313016,130.086403441316,HAM
19,237.82634092496008,244.0287999442634,BEA
20,279.3156081758131,276.6591220709957,HAM
21,206.49864895568075,202.9613167141836,HAM
22,154.5968156101271,148.44953777010744,HAM
23,220.67001291413075,224.9799482196815,BEA
24,233.87465316960746,236.4012363034632,BEA
25,260.1499968,,HAM
