Minisector,VER,PIA,Fastest
0,276.1631768911977,276.89220436544156,PIA
1,293.9612135670991,295.0629951074517,PIA
2,231.59789792420912,218.819293019166,VER
3,114.48743845626315,108.75155137227182,VER
4,130.37340284342164,131.2630022338029,PIA
5,245.0577537142457,248.38649364198582,PIA
6,253.75824914133332,234.79531279331817,VER
7,123.80514301516864,117.45362746412137,VER
8,242.60808683521736,243.17896928846562,PIA
9,257.11014918521556,241.30304332985506,VER
10,211.0238971519951,194.13947957904762,VER
11,141.1290589872239,134.59998288014287,VER
12,199.98099467494646,206.57511513582514,PIA
13,258.4628580717745,252.07893866489658,VER
14,113.0643510298298,106.45509483579426,VER
15,187.4494057496255,190.91482924543877,PIA
16,253.15852848179787,256.18037720912304,PIA
17,285.22230755086514,291.63035638774187,PIA
18,298.78996305160507,309.7546307573333,PIA
19,304.93717535584415,325.2176702468934,PIA
20,307.40503475555556,328.9719084997852,PIA
21,176.80228691196726,136.26178285204762,VER
22,138.0516396517361,153.56781128425797,PIA
23,196.07928824482815,195.93866767687712,VER
24,230.0735899697163,237.50852192608934,PIA
25,262.0250016,,VER
