Minisector,PER,SAI,Fastest
0,290.9402737735818,292.7017977331966,SAI
1,301.73105250807015,303.31094717018635,SAI
2,275.67997778986665,278.5200599982222,SAI
3,107.7494541937983,104.5800847575543,PER
4,216.69337406258504,214.9510803697598,PER
5,267.57986194511267,268.6117906160951,SAI
6,202.09279251857143,211.38907978748455,SAI
7,164.47619834208513,156.53160875393178,PER
8,204.81940626880674,193.43227892423553,PER
9,203.37418172298348,213.9098666452353,SAI
10,114.79364700512537,112.5186445505786,PER
11,227.7745621937577,226.20185363337592,PER
12,118.23913087954558,112.55753558340112,PER
13,221.75652198420966,221.1322701008316,PER
14,271.3266418389625,274.6926398776335,SAI
15,212.95378647352274,217.05683690068534,SAI
16,192.36979971599524,190.12560934571428,PER
17,239.3062275322864,235.04825746600983,PER
18,192.4161547869264,188.13133577039204,PER
19,186.12286866235323,187.0551918915186,SAI
20,263.6504424640542,263.6913111591342,SAI
21,288.4368836949281,290.2164440482801,SAI
22,167.84367734590475,164.33565539333205,PER
23,204.04043939684658,210.39223554787813,SAI
24,270.25309365439153,272.88384709110477,SAI
25,284.16,,PER
