Minisector,SAI,GAS,Fastest
0,294.41036852002986,298.6203483140474,GAS
1,246.90254281180702,251.2752169216159,GAS
2,205.09072199389416,199.82292435750992,SAI
3,270.06345752492876,268.130885230722,SAI
4,231.46506123236225,228.23640404574792,SAI
5,118.19586413983855,116.00348746142508,SAI
6,180.12231663221706,180.36728749863346,GAS
7,259.28655635489037,257.39588159895294,SAI
8,288.77787312217316,285.6060099335749,SAI
9,301.03629529817476,299.00046803828866,SAI
10,302.1754043977246,305.19880934603174,GAS
11,215.03904490150978,233.2799417728233,GAS
12,148.73112827381746,144.86772266532665,SAI
13,259.23578507492124,257.9761641403297,SAI
14,289.28448848384755,289.90647142510477,GAS
15,299.1436507936508,299.4376769832519,GAS
16,297.41139304796803,297.2076784990476,SAI
17,265.2325474576484,261.4278144641364,SAI
18,194.41929278105306,185.8313747449957,SAI
19,189.85117251475248,191.0183241127419,GAS
20,186.24189546033162,183.01905064092045,SAI
21,253.04797269182015,250.84103292416512,SAI
22,128.17092087624613,128.19726472601076,GAS
23,199.23562484172848,196.98181617918078,SAI
24,276.3791844463171,276.23917081261294,SAI
25,288.0,289.6583338666667,GAS
