Minisector,BOT,RAI,Fastest
0,233.14811129540712,228.6174742210954,BOT
1,287.7830582961294,281.08186267375504,BOT
2,312.97951368888886,297.2691666529524,BOT
3,323.14715985721557,302.93039258944526,BOT
4,286.0751925679951,265.1508816818342,BOT
5,162.37480746918695,158.04119708053813,BOT
6,257.16987106161827,255.87379549316913,BOT
7,273.7011218051282,275.02638885925927,RAI
8,209.9063353361243,201.16930926312259,BOT
9,216.14982584200072,214.17951501546338,BOT
10,183.22111465956422,173.54712094836674,BOT
11,220.08228722537947,218.4137005301777,BOT
12,200.575857560484,197.30187378284458,BOT
13,206.38988901225272,204.47999862857145,BOT
14,214.58442082055524,217.8505420711789,RAI
15,177.69647636327872,174.7735951283759,BOT
16,243.8509656574441,242.47972072775042,BOT
17,283.9018980636908,283.44071220515383,BOT
18,294.21336810158726,297.475666688,RAI
19,280.4352561230769,292.53696549104046,RAI
20,129.31229474851867,126.99973791653424,BOT
21,158.3422618560067,152.4112979849801,BOT
22,151.45363387071936,146.35847730677855,BOT
23,202.78417089821886,197.3383347497027,BOT
24,147.90708929478788,141.0017204665274,BOT
25,185.96250239999998,,BOT
