Minisector,HAM,ANT,Fastest
0,327.45466000761905,323.21295493171715,HAM
1,335.65543864140346,332.867932793939,HAM
2,333.41734562735934,336.6802755833584,ANT
3,201.76056325304663,194.11248505280076,HAM
4,135.5537391527976,135.49633099026957,HAM
5,266.2515983873016,269.3589985502368,ANT
6,306.0644473687958,302.9237995661153,HAM
7,320.1617011897744,317.08018353499267,HAM
8,287.25791189487603,261.54390082336505,HAM
9,146.50584407608085,151.94075581401168,ANT
10,230.56296510134453,224.32729944130634,HAM
11,228.2531019971093,230.96727837622106,ANT
12,206.89643075182465,214.543810419343,ANT
13,274.9590019046404,275.807482169697,ANT
14,309.1986581071459,309.11086559044884,HAM
15,322.73335530224347,319.2026232296296,HAM
16,270.4157812421534,262.7217691548718,HAM
17,217.91693093740258,224.3086089033864,ANT
18,280.3041684244106,282.1782155884144,ANT
19,313.3166265496198,313.19869039937663,HAM
20,325.4816770385093,325.885575374725,ANT
21,310.6745985601854,304.4851272330159,HAM
22,218.01627038203597,217.0189531505314,HAM
23,274.01285857548976,270.7741913697944,HAM
24,309.85291583676184,305.5579053979138,HAM
