Minisector,GRO,HAR,Fastest
0,288.6389498408931,285.28506646293266,GRO
1,242.5623397340412,246.50382802118708,HAR
2,270.1707332558378,268.74771774814815,GRO
3,291.29398325692694,282.94511942019665,GRO
4,126.28526380385998,125.39269691186894,GRO
5,211.17885536939448,214.45699435002754,HAR
6,273.6902814741148,266.34476630711777,GRO
7,300.49999411923534,288.83760293882546,GRO
8,314.02135956576814,297.9622397203732,GRO
9,322.30952256969874,303.391927,GRO
10,306.0358821158934,289.15379373525604,GRO
11,104.31795804926095,101.18897990735276,GRO
12,220.02995613880012,223.02248906920906,HAR
13,272.5413937838754,271.8031469743724,GRO
14,272.8046362566167,260.6836058694256,GRO
15,133.4159787772541,130.51641224721243,GRO
16,208.29359344205935,209.94073750847178,HAR
17,258.7470120228923,258.0384964767206,GRO
18,254.6576335591139,256.7521109953382,HAR
19,244.55442349251757,245.54466065439226,HAR
20,150.66273758752743,138.65444171216618,GRO
21,191.53936402484308,197.32151619960973,HAR
22,173.69656791798437,169.27580142137305,GRO
23,187.28142648441934,188.15748792466852,HAR
24,250.0438558257522,253.3999805547317,HAR
25,276.08368305708905,,GRO
