Minisector,NOR,RIC,Fastest
0,288.9807528235615,281.9042565883454,NOR
1,301.3560127612174,292.0035716063492,NOR
2,305.67104165333336,294.7914583466667,NOR
3,306.9124615171006,288.6519923478261,NOR
4,246.29971690931677,232.08934507658594,NOR
5,194.55693818902503,192.3644498128584,NOR
6,258.1581784937098,255.5243542955706,NOR
7,279.2325672778504,276.00081172640694,NOR
8,214.2519598618502,205.60006229274234,NOR
9,211.23964029729382,203.56666286695477,NOR
10,136.67105703198547,141.13935444885067,RIC
11,246.3158143971812,247.5433273636594,RIC
12,275.91111175247016,269.37320466319363,NOR
13,218.15351667640257,216.55359884240895,NOR
14,262.2002417366886,258.3906273518278,NOR
15,226.55921035910424,214.4785364052839,NOR
16,181.37830044151244,185.04514897217985,RIC
17,258.584958402202,257.09155525919016,NOR
18,149.71004265494506,145.83408517703833,NOR
19,207.8007444442239,212.02289398073856,RIC
20,274.4152618402646,270.92437761395854,NOR
21,290.7227238130066,287.6349855977883,NOR
22,162.2436945016544,157.2992501031998,NOR
23,178.85373919146136,183.13791277970404,RIC
24,258.2976419248527,258.91020401245004,RIC
25,278.7375008,,NOR
