Minisector,NOR,GAS,Fastest
0,281.1853184946366,267.272000048,NOR
1,122.25863097443283,114.27629180381564,NOR
2,172.84444579232422,159.64662179490662,NOR
3,206.76204734144926,208.04540086613335,GAS
4,162.542821637506,157.97448280725354,NOR
5,239.32266110040814,237.58632285856103,NOR
6,200.32575557705295,187.66438448507935,NOR
7,138.8985575179832,133.38288643708054,NOR
8,238.1022966874435,232.9409514966082,NOR
9,276.1635040857143,273.59771009282855,NOR
10,277.5698978322843,268.5176765873016,NOR
11,151.9477590280418,143.87739253381605,NOR
12,220.64523484196928,223.59266955266952,GAS
13,271.1682503317669,271.0073268489502,NOR
14,257.5627604667669,267.04059927429546,GAS
15,99.75430435037987,101.97579053667219,GAS
16,221.50573271615752,219.18013768523556,NOR
17,269.44711547936697,267.2847418464918,NOR
18,289.59817931114844,288.660289880776,NOR
19,297.78987474460627,298.20452364755243,GAS
20,303.06127447843136,303.6528249059776,GAS
21,279.4106404901587,279.4060784313726,NOR
22,156.8831898329149,149.32451531477844,NOR
23,233.16974604985506,222.1139896517636,NOR
24,275.3570774190714,271.88145836666666,NOR
25,,278.0,GAS
