Minisector,BEA,BOR,Fastest
0,306.0808475343915,299.5094079049624,BEA
1,193.15481798389226,201.60355492301483,BOR
2,211.41138108496992,217.80141766358975,BOR
3,264.42488547463205,267.66249743707766,BOR
4,223.27332849993266,245.2417250816,BOR
5,125.9043252984258,125.04066586455524,BEA
6,205.91241708701537,197.20911881877137,BEA
7,244.55295749047397,242.7411968910053,BEA
8,236.5698893291005,237.4459729923423,BOR
9,228.85567429300207,233.28935665747974,BOR
10,284.08990424644,283.8510623135943,BEA
11,309.59313442793655,307.16687794075585,BEA
12,323.7988540773333,318.3537521247266,BEA
13,322.32127032423045,315.164927522227,BEA
14,312.49384007825626,303.95446956791983,BEA
15,246.9447290972583,258.84672859691295,BOR
16,227.4908855438127,236.4882684738673,BOR
17,270.9766748943377,274.1725510995671,BOR
18,280.7849559990857,287.1630509810935,BOR
19,157.61809288812586,158.16883472233118,BOR
20,189.61217459853313,187.7698185449277,BEA
21,177.18537845887096,188.88790300288272,BOR
22,122.92308616779337,127.31300329145245,BOR
23,235.5795658903424,223.05483264933486,BEA
24,289.82074154290285,283.2997315738839,BEA
25,303.9624992,295.0830550755556,BEA
