Minisector,BOT,KVY,Fastest
0,297.42065977777776,305.8333333333333,KVY
1,299.57904550982323,307.5000823236733,KVY
2,260.8453045253068,242.35333333333332,BOT
3,155.81127886611688,151.67927244010116,BOT
4,176.00123826730922,165.33085308017468,BOT
5,217.29885057471265,216.51149425287355,BOT
6,239.30940094454783,229.23521725035246,BOT
7,217.20607553366176,210.17036124794745,BOT
8,268.20561445437926,258.77027172741555,BOT
9,264.78623188405794,252.52166666666668,BOT
10,274.1897671620264,265.6195652173913,BOT
11,278.5908472149417,268.68128894266937,BOT
12,275.3190379959962,267.1521739130435,BOT
13,265.3284503735921,266.4664048412285,KVY
14,181.93648679604843,176.86462585034013,BOT
15,238.9346711922035,232.8056760489796,BOT
16,210.89694410666667,206.22235023041475,BOT
17,175.01756731512694,168.02671234362603,BOT
18,257.91289121111714,257.1176491183416,BOT
19,284.1012803029411,287.12608700289854,KVY
20,260.2932536126984,242.00049603174602,BOT
21,189.47614945396356,182.20228939650326,BOT
22,255.50686835954676,256.29513888888886,KVY
23,282.1098275558046,285.6333758409703,KVY
24,293.77155798260867,297.23333333333335,KVY
25,,302.9020832,KVY
