Minisector,GRO,ALO,Fastest
0,291.19309677876,287.08259846274507,GRO
1,298.15000064000003,291.80963553333333,GRO
2,161.53054235704653,167.0898995967527,ALO
3,221.95208325333334,227.93782730217578,ALO
4,271.51666714074076,273.30000786859455,ALO
5,294.0156248,288.9325524,GRO
6,303.1333331911111,294.3374864741945,GRO
7,170.58087190875224,161.89266769418708,GRO
8,133.29851222857144,137.71146749495722,ALO
9,249.5779338495699,249.8779770751323,ALO
10,284.11718766666667,278.6730977891159,GRO
11,296.5588230901961,286.01953133333336,GRO
12,148.62403705855587,144.64556050080932,GRO
13,196.96557027288767,200.93281402711364,ALO
14,258.8964708429632,256.35416687407405,GRO
15,193.99864132173914,197.49977999930692,ALO
16,218.9768949818182,222.83757396246628,ALO
17,208.85102794805195,219.92927461245338,ALO
18,240.86937905608465,247.3742028576026,ALO
19,271.9635877764506,274.2029151917428,ALO
20,289.46348047058825,288.09880926666665,GRO
21,246.14758631214778,266.47777866666667,ALO
22,214.44526496969695,219.67630344154367,ALO
23,199.86684864927537,214.28871626666668,ALO
24,262.6550936296296,265.3056734580863,ALO
25,281.05,,GRO
