Minisector,PER,RUS,Fastest
0,305.93383687101993,310.5209711643592,RUS
1,235.43982800391402,246.57503877723613,RUS
2,133.15415481908056,120.74970313345247,PER
3,228.65101614808927,237.77615599223765,RUS
4,195.07958099331395,194.45418042073234,PER
5,246.01911179744107,244.24761051606677,PER
6,231.8291563445421,226.2584520851206,PER
7,260.6174989019734,256.84367866455716,PER
8,287.0515511203078,295.3197748104211,RUS
9,202.97111049142856,207.63057231995657,RUS
10,207.39061656971904,202.6672989116336,PER
11,268.83035595663796,277.1118251528738,RUS
12,212.92607900154195,215.86577482682466,RUS
13,248.95251418891445,252.16306180243035,RUS
14,291.7124926254994,298.32011044081406,RUS
15,308.0189765101449,314.390422924058,RUS
16,305.438027981118,319.92089661000756,RUS
17,217.01313465288325,203.85639048931552,PER
18,261.3380623406338,255.51347527011524,PER
19,295.2432439674459,299.25206355091467,RUS
20,310.4169283980381,315.91182169197316,RUS
21,309.8635750472934,319.8144821962888,RUS
22,152.8087752456242,155.02179287827838,RUS
23,232.95314380695748,225.35312743285644,PER
24,285.71928675897436,288.6088789659814,RUS
25,296.49999872,301.8533336,RUS
