Minisector,NOR,PIA,Fastest
0,293.85348933875076,304.88092105006103,PIA
1,306.55837329109437,322.34406757079364,PIA
2,313.7730476381699,329.3374448536961,PIA
3,314.31083322666666,332.43945723928766,PIA
4,190.90550432573477,196.08132439844798,PIA
5,211.71372754364532,214.51690609591736,PIA
6,268.3861669005848,266.34854220444447,NOR
7,271.60837317155557,261.00190488685604,NOR
8,193.3049609351065,188.31078674492653,NOR
9,142.3151122863413,151.9204337573856,PIA
10,182.75437543675574,169.9054567419094,NOR
11,261.5988464069264,256.54086216274567,NOR
12,247.17273755692435,251.8019805692517,PIA
13,231.01250941849804,221.66708771156462,NOR
14,272.053584616127,265.9757237838596,NOR
15,163.84392986340134,166.64853219865256,PIA
16,220.9137942912,210.9286453408118,NOR
17,232.6723452253262,245.1483233693196,PIA
18,131.5540433297143,131.65136899162468,PIA
19,241.3023934193963,233.66123154456446,NOR
20,282.5880202600151,277.995875312,NOR
21,237.91676506131517,251.39301623149123,PIA
22,138.4444055259259,139.17875719470763,PIA
23,204.7990675098533,201.59755300933617,NOR
24,271.88332882539686,269.65166219123086,NOR
25,,283.74999893333336,PIA
