Minisector,OCO,NOR,Fastest
0,295.01819197142856,311.01084623845816,NOR
1,304.60885888581004,324.9358980923077,NOR
2,311.1141026461538,333.1825551355311,NOR
3,309.5243525937871,337.7315478349206,NOR
4,187.7041120132505,210.73597177281877,NOR
5,97.55196274311024,90.30951135734989,OCO
6,199.3398124679833,190.55412786960056,OCO
7,253.76862775574227,251.65567320560223,OCO
8,280.2537740271524,272.1111115377778,OCO
9,288.34401073333333,280.722180291155,OCO
10,149.75176778224858,152.9585977904762,NOR
11,173.70800119466665,168.1130577545517,OCO
12,235.42415341938073,233.40789535438594,OCO
13,241.3289855118753,235.6674798275689,OCO
14,154.36999206042694,147.8060919389453,OCO
15,209.8357757652489,212.31178768761907,NOR
16,259.1399517605698,262.0476199809524,NOR
17,280.8066669511111,281.3982767871759,NOR
18,293.6049633870252,284.6172221155556,OCO
19,301.8925015807789,291.01527815111115,OCO
20,279.69408146666666,283.24160406904673,NOR
21,146.0943174024526,146.46566532668004,NOR
22,204.76390775440578,210.53968518095238,NOR
23,257.17489576694675,262.49789427904966,NOR
24,280.756750231735,285.4583338666667,NOR
25,,293.7062512,NOR
