Minisector,HUL,GIO,Fastest
0,318.8785716825397,317.37105996190473,HUL
1,324.9902777481482,321.08981478095234,HUL
2,318.7718072322233,323.7887633156944,GIO
3,175.06022882265123,170.59287897555734,HUL
4,137.01320239407409,136.18330991715254,HUL
5,268.5664802029471,266.85433991111114,HUL
6,299.094444647619,296.9355654144091,HUL
7,305.87145840000005,304.0029761015873,HUL
8,262.3879985432381,256.22596742488525,HUL
9,157.25865433456346,153.23897951962834,HUL
10,215.86830319999999,215.47535756254445,HUL
11,229.0187464678648,230.13148069135804,GIO
12,206.39485752303938,197.52555291362305,HUL
13,273.50359265783754,272.8160976,HUL
14,304.29101493696146,303.31964266666665,HUL
15,311.05119050158726,311.06077381333336,GIO
16,254.60299977142859,245.089218414652,HUL
17,214.08910907979413,216.55861929195402,GIO
18,276.7394931478261,277.9139114203918,GIO
19,307.47779817912533,305.6808925485714,HUL
20,320.3579364910053,312.56071415873015,HUL
21,300.5751169538221,288.3026503090157,HUL
22,210.99730335961866,208.75379052517005,HUL
23,267.2512479885486,268.1464927455391,GIO
24,302.5771476405797,301.60456294603176,HUL
