Minisector,VER,HUL,Fastest
0,253.64186804970726,253.7697818669815,HUL
1,211.63498614030163,198.9211310412289,VER
2,202.7105359576541,205.38835494965988,HUL
3,262.46673909520047,247.26924508635824,VER
4,278.7889653794345,268.5982622708918,VER
5,294.04219392249246,288.52230628675784,VER
6,141.39340616840263,153.91507112065747,HUL
7,195.77287005573194,189.45380020251693,VER
8,271.4904797378695,269.6138771220779,VER
9,298.50201971163057,298.90265620109176,HUL
10,311.0274202663731,311.12383404498314,HUL
11,310.8417992460243,312.9477865268262,HUL
12,108.56808411987456,107.62962971054347,VER
13,200.52082384482384,192.0311975774082,VER
14,271.5922800299415,275.04872191201315,HUL
15,296.36113638358444,309.79870855610113,HUL
16,298.40482877633474,320.6717942404889,HUL
17,185.13157753326766,187.14506260620485,HUL
18,219.65947565011703,216.21129729914531,VER
19,271.5883333333333,267.0880136474931,VER
20,142.60497556790395,159.9948145794318,HUL
21,145.35535119830908,137.87442432227172,VER
22,220.5072068471795,207.43761459654627,VER
23,238.73011612072258,228.12977678633607,VER
24,160.62389169500995,156.20144244505863,VER
25,225.01499904,225.37275839477945,HUL
