Minisector,PIA,COL,Fastest
0,246.80929661887447,241.73241297026524,PIA
1,283.29665811266955,279.6548809194374,PIA
2,178.7978626030001,191.20297520619312,COL
3,148.41656446677385,165.58169704130108,COL
4,255.5375054326702,254.50800686917185,PIA
5,271.99711893809524,267.94127362055934,PIA
6,240.25507352845574,239.59262147565715,PIA
7,209.08538283783136,213.06039281705947,COL
8,168.86105863234474,163.23252651668048,PIA
9,218.74579607450798,219.4694363899327,COL
10,271.7223350658806,269.5172698261264,PIA
11,126.85239845557999,131.89020357609292,COL
12,208.0811969439242,219.1709465020576,COL
13,273.751235001068,274.3997983726186,COL
14,297.48061574200784,294.81641414141416,PIA
15,308.23655818153605,305.36991493886234,PIA
16,242.5206871445177,235.84940631072703,PIA
17,129.70063127187055,130.40405696940564,COL
18,131.34922870233592,131.99204800459484,COL
19,123.67533284317369,122.7416221334604,PIA
20,226.94229672058088,228.46874747474746,COL
21,261.7529498048895,262.23748343994197,COL
22,232.859633608366,236.13624320124322,COL
23,220.65273319068467,221.00389904310632,COL
24,141.66248273740212,138.58647095842073,PIA
25,216.89999999999998,,PIA
