Minisector,PER,MAG,Fastest
0,257.607860972715,255.20902988103978,PER
1,203.39409099066654,208.15129549063474,MAG
2,217.84086896457652,222.02815397208295,MAG
3,260.1690953616099,261.078142328533,MAG
4,270.721059436707,272.077852212801,MAG
5,217.93190073547382,219.49561064171212,MAG
6,91.19302938086302,95.04370742569034,MAG
7,181.14116078633128,186.35329206635575,MAG
8,279.23122032102754,276.00253024,PER
9,309.4167399130074,305.2068915743067,PER
10,322.6033313572355,319.1399921377876,PER
11,317.31579406115753,319.0441222409148,MAG
12,106.28528517602288,106.55317326200397,MAG
13,210.40981822318398,203.21039973850537,PER
14,279.13743650465267,274.32239885028565,PER
15,301.7483329304033,295.9488236310497,PER
16,231.78098297842504,230.31159469029396,PER
17,120.05462536470837,119.79131887362826,PER
18,148.096345452467,146.4136828516975,PER
19,257.60727887990953,253.0199012151951,PER
20,156.11610351627803,162.3308832705341,MAG
21,124.55096811465005,124.11653366271217,PER
22,198.7979822442155,189.6251642384812,PER
23,198.3831042074273,205.00310172727424,MAG
24,159.95350979480142,159.00548808630788,PER
25,228.68619978277496,226.56111182222222,PER
