Minisector,ANT,RUS,Fastest
0,285.42989293252526,284.8147340088889,ANT
1,292.72037033086417,293.0785714938776,RUS
2,244.97873723980186,239.3582033207326,ANT
3,122.99466022552889,119.90170545376635,ANT
4,127.62331136595566,132.3241441092296,RUS
5,252.04480089216932,253.51239063776345,RUS
6,268.7164326189899,255.82411249391305,ANT
7,126.39144341642158,127.07594193243754,RUS
8,250.3817781516883,251.14467242112553,RUS
9,256.4795269953674,256.09495504061465,ANT
10,214.6340009756499,216.06023856285935,RUS
11,151.7047285736341,145.46287198669762,ANT
12,194.26945464224664,197.89538420880677,RUS
13,255.6774873568007,255.26308092604464,ANT
14,124.1788180416055,115.31637156383204,ANT
15,180.7658730414781,187.50452185641595,RUS
16,261.13108808347823,266.4165671041546,RUS
17,309.59850519293445,310.7389877693122,RUS
18,319.8139353952153,323.3746919630999,RUS
19,313.5972782667862,327.06098036705885,RUS
20,307.87177228590826,325.85293871157893,RUS
21,218.5970792347386,234.88232883140506,RUS
22,134.97387323942888,127.2789040965928,ANT
23,191.01165446619072,194.16972150544834,RUS
24,236.07383971878494,223.9543464395996,ANT
25,275.26000128,258.0,ANT
