Minisector,HAM,HUL,Fastest
0,304.9373891555957,303.34321726402555,HAM
1,236.2628714138351,240.49325536880914,HUL
2,130.64283335070755,128.8503809711722,HAM
3,239.90483706489206,239.9076745714224,HUL
4,191.26712426383253,189.73782079766428,HAM
5,239.62073367286936,245.90991518210623,HUL
6,228.22824481966694,230.36656592637985,HUL
7,250.85328552563809,253.484606441693,HUL
8,293.19982008751344,290.1567558945582,HAM
9,208.83994604677486,210.99497770538045,HUL
10,206.3977150508412,206.31927032350941,HAM
11,276.4222359837028,274.54025651713204,HAM
12,208.30689687499532,214.97724957802473,HUL
13,255.07413434357042,250.0686128356128,HAM
14,295.22070989311896,291.5088435252623,HAM
15,311.41281181185894,306.7775571106629,HAM
16,315.22127975328794,307.45451406926406,HAM
17,208.78276377470667,212.8387227922106,HUL
18,263.4328250268132,261.7442665882712,HAM
19,300.6049022421456,294.19836448848486,HAM
20,323.5586384594609,308.8621088435374,HAM
21,328.87479128,311.18968668380637,HAM
22,155.91073658823456,154.23292920225074,HAM
23,240.57424658442386,233.17174898387302,HAM
24,298.4476809018876,285.10119076952384,HAM
25,,297.37500032,HUL
