Minisector,ALB,BOT,Fastest
0,317.3047548816126,316.1644002429052,ALB
1,326.74656249,325.2021963687619,ALB
2,323.9220110771581,322.45658109014073,ALB
3,183.82618907283833,189.82981070506028,BOT
4,121.5604892399591,120.87733748637532,ALB
5,264.4559139235303,262.6141516266667,ALB
6,296.36848608987015,296.51432892563736,BOT
7,314.3695370745679,311.45452418315784,ALB
8,267.0145283104372,279.968289947013,BOT
9,139.77538922266913,135.13972094478555,ALB
10,202.28099255565175,208.45359658709285,BOT
11,207.9724547090039,206.78742968271257,ALB
12,188.19154771597402,188.6164594981108,BOT
13,265.35691650133333,262.8506451126022,ALB
14,299.86716206049095,299.7035879555555,ALB
15,312.63712589351474,314.06922221511115,BOT
16,256.53952949335394,261.915590595407,BOT
17,203.22734944550064,200.14730647565307,ALB
18,269.60550348733733,266.99956803675275,ALB
19,303.7992188706151,303.4257566,ALB
20,319.74010025062654,315.2210597925471,ALB
21,287.91294955100113,301.5641743046465,BOT
22,196.6006409682422,197.26615078676565,BOT
23,260.1612193340837,261.3315862628572,BOT
24,299.5597979520923,297.603785227531,ALB
25,311.74166613333335,309.24375,ALB
