Minisector,VET,RAI,Fastest
0,275.1530145527869,269.897566555486,VET
1,293.12090204105556,287.7925158229114,VET
2,301.05315035967084,295.84394463433813,VET
3,134.95808639117212,130.4652072035292,VET
4,199.45684570583168,193.60200923905848,VET
5,263.3167495444524,255.04684275267272,VET
6,140.3650821326258,136.60139448239303,VET
7,210.79891108123613,207.58388443748555,VET
8,265.02055320820705,260.28131570173457,VET
9,286.9517879408678,280.9001693969607,VET
10,249.10340754861824,237.49828313074963,VET
11,183.77923701066362,181.77223869273791,VET
12,194.03290036946822,191.42834636964176,VET
13,146.7778198904444,145.1753164560321,VET
14,175.16377011404708,176.41449957310417,RAI
15,164.36238193228792,159.69984114542538,VET
16,218.89964019820982,215.4015340189555,VET
17,237.97149450450289,235.7029755120652,VET
18,242.16769643510318,237.50098126210514,VET
19,251.52994562238297,246.17687953205203,VET
20,145.27391203439547,144.03115614163022,VET
21,137.9783427604512,133.46870887389338,VET
22,170.95686900045732,169.81573030588157,VET
23,151.99707970161126,152.09765526504845,RAI
24,235.5700788462725,229.42973824914068,VET
