Minisector,BOT,ALO,Fastest
0,255.55645892491577,252.1867953643435,BOT
1,217.8336614529765,214.16069996744932,BOT
2,204.81664996376418,204.68523235178128,BOT
3,260.0560110585727,260.12492657700653,ALO
4,275.05729003547685,274.73984689132124,BOT
5,286.00471012173915,291.11460237799156,ALO
6,165.24589353147536,163.44222571199637,BOT
7,183.40510890368554,179.33128504399218,BOT
8,266.80836284749597,265.741633892987,BOT
9,292.7298622153799,291.57656109076726,BOT
10,303.88154608579504,303.05519927909063,BOT
11,303.592919833173,304.92159539578546,ALO
12,115.96478136524595,113.96651951156352,BOT
13,188.1515493447407,190.33916646473654,ALO
14,270.452576856222,271.2872187082757,ALO
15,295.22076175105246,295.08169468575653,BOT
16,297.0879726259605,300.8319245910463,ALO
17,192.2225827615218,182.3380194275953,BOT
18,227.1771853000885,220.38130085224486,BOT
19,269.91597994530895,261.49425443410877,BOT
20,152.997526957232,149.82363048406816,BOT
21,148.96961397954567,146.7444372098843,BOT
22,224.14631887307291,220.38947371988894,BOT
23,228.51185661872253,230.98615837854092,ALO
24,160.57896131125824,162.32548167583687,ALO
