Minisector,LEC,NOR,Fastest
0,295.8840655353868,306.19340736317866,NOR
1,304.6342263957672,321.2145832888889,NOR
2,297.4296431197884,283.29252432409737,LEC
3,115.48915027844048,111.47410025025441,LEC
4,230.65071724045123,231.45319762690312,NOR
5,269.8171942850506,284.8086651111286,NOR
6,217.8868947031759,216.611907339265,LEC
7,169.17467147345585,163.01407700890243,LEC
8,204.84270441587952,197.1101504530656,LEC
9,222.1117505523845,203.05070408509556,LEC
10,117.75683213334308,112.77532986812092,LEC
11,235.6302047239898,226.38973150748404,LEC
12,120.21018216868191,114.9818369846949,LEC
13,228.35918829174292,224.2096746575295,LEC
14,276.6785488635118,272.40612630445736,LEC
15,223.17121735446267,207.32163228302736,LEC
16,205.17751295218915,201.1137052206855,LEC
17,259.46097751881905,250.6053139062642,LEC
18,208.18437884634196,192.8883732727393,LEC
19,187.81926435139164,187.34219275767617,LEC
20,273.47341670703736,269.4057102960999,LEC
21,297.4959279932571,295.12462840266545,LEC
22,173.79722414151766,158.7068167760098,LEC
23,216.70313113560266,213.83950000595232,LEC
24,275.5222917831382,271.6737718258109,LEC
