Minisector,OCO,GAS,Fastest
0,297.33151248592594,296.74566619887634,OCO
1,253.89696381335978,241.05564304203173,OCO
2,127.31672199884139,130.7375709454579,GAS
3,235.3479008246962,244.71145540225908,GAS
4,191.89964121045216,191.0077345887125,OCO
5,244.01303920310554,241.7784168491413,OCO
6,228.50737594236512,226.63927732684442,OCO
7,251.7809026629211,248.19756969086419,OCO
8,283.04982217071205,282.79098233318683,OCO
9,214.13149824669182,213.54798985770307,OCO
10,197.67264974245117,199.15759459549722,GAS
11,268.40491204534754,268.9689289667448,GAS
12,215.4648409267084,212.52927650152313,OCO
13,246.08003135883402,246.92990722455937,GAS
14,287.1830267115323,287.5283178081963,GAS
15,301.5264337811289,302.0258928571429,GAS
16,298.52530940948185,298.58101280148145,GAS
17,213.3523093122344,210.96156169852893,OCO
18,259.41503268044573,258.7993461347021,OCO
19,292.3754359542857,292.22450065130676,OCO
20,305.1238629422222,303.84284909057953,OCO
21,310.791838257479,300.9863612621118,OCO
22,151.7655677614522,151.73798226808483,OCO
23,227.72218012509984,225.70163618850245,OCO
24,281.69713005105604,283.6941324622222,GAS
25,292.0045463272727,295.55833386666666,GAS
