Minisector,NOR,RIC,Fastest
0,269.5695435110586,267.67965750089803,NOR
1,244.6706820853359,230.30978064482184,NOR
2,110.65441320491455,109.6599324264106,NOR
3,175.65237723214287,178.72484525641963,RIC
4,178.53560793814816,174.86065299218828,NOR
5,208.54007777777778,207.2025560464012,NOR
6,265.76987485551535,264.9517477386754,NOR
7,283.0031216931217,278.1983004491228,NOR
8,179.70925290338474,178.417821938093,NOR
9,132.43808583545118,143.3334946926349,RIC
10,125.96333100325968,127.63985854882213,RIC
11,175.87980736402596,183.8554913468133,RIC
12,224.90245734223515,212.6912347650321,NOR
13,126.24142657531323,124.65614775699657,NOR
14,139.74480794644606,147.6713524639162,RIC
15,125.50440960392841,110.54141680055595,NOR
16,247.50687138637545,242.75398235288776,NOR
17,140.57056822695873,138.80775491644778,NOR
18,194.0694019375796,182.7396339479739,NOR
19,122.1083377125035,124.01986478820609,RIC
20,127.93715552704184,124.73047827405207,NOR
21,118.39980654695718,111.51053019921582,NOR
22,137.59142682479487,125.71208941641004,NOR
23,206.3254023504193,210.80709328909708,RIC
24,231.18044001944014,222.301375386206,NOR
25,,253.52840872727273,RIC
