Minisector,BOT,OCO,Fastest
0,272.47113383628346,273.66622530934745,OCO
1,289.5086025572501,291.9568096082822,OCO
2,286.65780673867295,288.64678577980953,OCO
3,188.00004671726384,186.70110558428684,BOT
4,126.31801453503714,124.69484466910221,BOT
5,235.3353871788274,236.0636034175115,OCO
6,281.0929320378974,279.44366695630026,BOT
7,293.8378767573548,286.5961540923077,BOT
8,178.26941869057117,180.68027803090297,OCO
9,142.13485302202145,143.29587789635204,OCO
10,249.1919993826871,246.0840512,BOT
11,284.7500638192727,280.67775987358925,BOT
12,294.27599991466667,289.14372533333335,BOT
13,279.916849810989,272.09012329876543,BOT
14,295.0950561708967,293.61488071314284,BOT
15,298.97079228603235,296.91996558095235,BOT
16,263.2305111115721,255.60878549228244,BOT
17,226.16044886045074,225.73816288111178,BOT
18,279.7287470181764,277.7497791717813,BOT
19,301.38142373333335,300.56406244444446,BOT
20,307.24019585020216,302.20479471922704,BOT
21,239.40138801777778,233.85997066190475,BOT
22,260.06143120084374,252.41873242234718,BOT
23,136.29288449931354,143.41110236664193,OCO
24,216.11252571937302,206.5267847009524,BOT
25,,253.02387892767,OCO
