Minisector,LEC,SAI,Fastest
0,301.6219182840579,277.24016785066664,LEC
1,163.45735865686808,160.08070407445166,LEC
2,154.1115049405353,151.4397550800501,LEC
3,233.6891026271043,232.66018389559085,LEC
4,288.4674229140514,284.3249064825487,LEC
5,288.4613294842474,275.81124640277056,LEC
6,151.65855381449882,144.1172631892648,LEC
7,147.40972906381546,142.66607627488236,LEC
8,150.01165840242004,139.09478059047032,LEC
9,197.34519971616945,199.77252475257603,SAI
10,134.7019522511164,128.89717095357207,LEC
11,126.1777839834269,118.1913054314733,LEC
12,171.01844490954954,182.57356644088355,SAI
13,271.18703642962964,269.79838065980954,LEC
14,293.8062498909091,282.98392847792206,LEC
15,158.4937089596372,149.18381139607422,LEC
16,209.8341207907986,200.9738242664634,LEC
17,178.31282175911167,188.92989807346922,SAI
18,278.33489533333335,276.84125248530023,LEC
19,300.61796450157186,295.0510986864604,LEC
20,317.05932521360546,306.26369781333335,LEC
21,321.62894731228073,312.0899691410271,LEC
22,318.87296961537356,314.2170634666667,LEC
23,327.2962017088435,316.25375002666664,LEC
24,331.0256944592593,314.18245614035084,LEC
25,329.1541664,,LEC
